Process started: 2022-07-01 01:58:36.795324
Opening DB connection
Engine created
DB connection successful!
('28/10', 1, 1)
('relacionaban', 1, 1)
('systematic', 1, 2)
('batefuego', 1, 1)
('empresarial2', 1, 1)
('aeroportuaria114', 1, 1)
('cifin', 1, 1)
('kalman', 1, 2)
('sexual1,301', 1, 1)
('laboral)laboral', 1, 1)
('latigid', 1, 1)
('-m1.540.000', 1, 1)
('pesos46', 1, 1)
('ppvtc)6', 1, 1)
('recalcó', 1, 1)
('ttuurari', 1, 1)
('natural13', 1, 1)
('sumidero', 1, 1)
('3.1.1.contaminación', 1, 1)
('diffusion', 1, 1)
('cimbra', 1, 1)
('aburrá)59', 1, 1)
('2019-ncov', 1, 2)
('datos8', 1, 1)
('hufty', 1, 2)
('80%adn', 1, 1)
('caballo', 1, 1)
('dialogante', 1, 1)
('gnss', 1, 1)
('logístico-plan', 1, 1)
('carbonatadas', 1, 1)
('broca', 1, 2)
('nec', 1, 1)
('costo-', 1, 1)
('aventura', 1, 1)
('/teu', 1, 1)
('autoritarismo', 1, 1)
('superiores32', 1, 1)
('interconectando', 1, 1)
('encomendó', 1, 2)
('potencializará', 1, 1)
('p035771', 1, 2)
('semanalmente', 1, 1)
('estudiocamión', 1, 1)
('viales42', 1, 1)
('complementaciones', 1, 1)
('exógenas', 1, 1)
('adiquisicón', 1, 1)
('maguaré', 1, 3)
('gompertz', 1, 3)
('panamáméxico', 1, 1)
('desbloquear', 1, 1)
('iii28', 1, 1)
('151198baja', 1, 1)
('fajardo', 1, 1)
('seguidas', 1, 1)
('públicas2', 1, 1)
('cabuya-', 1, 3)
('graduated', 1, 1)
('5.901hasta', 1, 1)
('programació', 1, 1)
('energía29', 1, 1)
('disgusta', 1, 1)
('remolcador', 1, 1)
('irca)5', 1, 1)
('activos(b', 1, 1)
('trafico', 1, 1)
('oralidades', 1, 3)
('etno-educativas', 1, 2)
('especial8', 1, 1)
('otro11%1%', 1, 1)
('a)el', 1, 1)
('indígena30', 1, 1)
('825.358799.652971.335642.611813.429713.813523.675428.580352.894enero', 1, 1)
('incubación', 1, 2)
('investigating', 1, 1)
('4,144,452,203,17villavicencio', 1, 1)
('cogfm', 1, 1)
('sncm', 1, 1)
('samitic', 1, 1)
('porcentaje(b', 1, 1)
('pivac', 1, 1)
('vacunada', 1, 2)
('pretenderá', 1, 1)
('recaudadores', 1, 1)
('densímetros', 1, 1)
('todos20', 1, 1)
('colombia30', 1, 1)
('escrow', 1, 1)
('sobrevaloren', 1, 1)
('farmacovigilancia', 1, 1)
('affaires', 1, 3)
('2823od', 1, 1)
('ánima-', 1, 2)
('hablante', 1, 1)
('popayán33,7%', 1, 1)
('iberoamerica', 1, 1)
('fenoco', 1, 3)
('19ed', 1, 1)
('anidados', 1, 1)
('transectoriales', 1, 2)
('pinchote', 1, 1)
('reunidos', 1, 1)
('sabedoras', 1, 1)
('privatización', 1, 1)
('medicolegales', 1, 2)
('-antioquia', 1, 1)
('redundancia195', 1, 1)
('delegan', 1, 1)
('sacilbúp', 1, 1)
('seligman', 1, 2)
('catastralmente15', 1, 1)
('angels', 1, 1)
('piscc', 1, 1)
('productivo66', 1, 1)
('novedad', 1, 1)
('penal9', 1, 1)
('agnamaracu)0102', 1, 1)
('terciaria16', 1, 1)
('fiscal5', 1, 1)
('pretratamientos25', 1, 1)
('plan10', 1, 1)
('aleja', 1, 1)
('hastaagosto', 1, 1)
('ántropos', 1, 2)
('venezuela84', 1, 1)
('yukpa', 1, 1)
('twenty-foot', 1, 2)
('operacional91', 1, 1)
('forestal13', 1, 1)
('recorrerá', 1, 1)
('wiego', 1, 1)
('depositantes', 1, 1)
('malczynski', 1, 1)
('complica', 1, 1)
('curales', 1, 1)
('urbano5', 1, 1)
('stim', 1, 1)
('yace', 1, 1)
('confecamaras', 1, 1)
('isquémica', 1, 1)
('dictionary', 1, 1)
('80)h', 1, 1)
('tercerizados', 1, 1)
('cali21', 1, 1)
('bellas', 1, 2)
('oncepto', 1, 1)
('tuquerressamaniego', 1, 1)
('cim136', 1, 1)
('sillas', 1, 1)
('conformaban', 1, 1)
('universidad-empresa', 1, 2)
('plmb-troncales', 1, 1)
('erica', 1, 1)
('ixatart', 1, 1)
('guachaves', 1, 1)
('guajir', 1, 1)
('baches', 1, 2)
('microfinanciera', 1, 1)
('velde', 1, 2)
('conpes4021', 1, 1)
('identificar20', 1, 1)
('colombia-la', 1, 1)
('perfila', 1, 1)
('fonce', 1, 1)
('competitividad19', 1, 1)
('soa', 1, 1)
('primario10', 1, 1)
('reñir', 1, 1)
('bioplaguicidas', 1, 1)
('intrafamiliarcomerciales', 1, 1)
('selim10800', 1, 1)
('parameter', 1, 1)
('gen8', 1, 3)
('sigma&findeter,2018', 1, 1)
('compensen', 1, 1)
('delimite', 1, 1)
('elc', 1, 1)
('bingying', 1, 1)
('migre', 1, 1)
('públicoprivada', 1, 1)
('cornell-', 1, 1)
('desempaque', 1, 1)
('organizing', 1, 1)
('prentice', 1, 1)
('equipaje', 1, 1)
('870/2017', 1, 1)
('sbmlp', 1, 1)
('locomotoras', 1, 1)
('shipyards', 1, 1)
('relacionen', 1, 1)
('ultimas', 1, 1)
('reinventing-construction-through-a-', 1, 1)
('weather', 1, 2)
('bambi', 1, 4)
('fusionado', 1, 1)
('adversarial', 1, 1)
('decirse', 1, 1)
('oc-12395-co', 1, 2)
('psychother', 1, 1)
('visten', 1, 1)
('deltas', 1, 1)
('bh-l1001', 1, 1)
('república43', 1, 1)
('financiamiento9', 1, 1)
('comercializadas', 1, 1)
('antioquia-bolívar', 1, 1)
('regulacisupervisdefinición', 1, 1)
('retornarse', 1, 3)
('trl', 1, 3)
('diplomática', 1, 1)
('subespecialistas', 1, 1)
('encabezando', 1, 1)
('ambn', 1, 5)
('correspondientes26', 1, 1)
('bolsillo', 1, 3)
('153c', 1, 1)
('usuariosistema', 1, 1)
('enfermedades47', 1, 1)
('restableció', 1, 1)
('taxi17%', 1, 1)
('prefirió', 1, 1)
('entenderlo', 1, 1)
('cisneros', 1, 1)
('monopsonio23', 1, 1)
('epigenetic', 1, 2)
('motavita', 1, 1)
('mopc', 1, 1)
('selim', 1, 1)
('sym', 1, 1)
('crearlas', 1, 1)
('bowles', 1, 2)
('sociotécnicos', 1, 4)
('sinérgico', 1, 5)
('1763018120postulación', 1, 1)
('residuales4', 1, 1)
('cgfm', 1, 2)
('18aul', 1, 1)
('digital-dnp', 1, 1)
('calidad9', 1, 1)
('lockdowns', 1, 1)
('20.000(a', 1, 1)
('verdad59', 1, 1)
('rural-urbano4', 1, 1)
('ensilaje', 1, 1)
('perseguida', 1, 1)
('ensambles', 1, 1)
('cultura26', 1, 1)
('-28,96%', 1, 1)
('usl)55', 1, 1)
('direccionalidad', 1, 4)
('conpes4035', 1, 1)
('complementarla', 1, 2)
('vivienda37', 1, 1)
('cartago14', 1, 1)
('limpias115', 1, 1)
('colombiano11', 1, 1)
('sfch27', 1, 1)
('adyacente', 1, 1)
('bajo-', 1, 1)
('improvement', 1, 1)
('caerían', 1, 3)
('patients', 1, 3)
('logística2', 1, 1)
('sociológicos', 1, 1)
('aerofotografías', 1, 1)
('pedagogías', 1, 1)
('titularización', 1, 1)
('setecientas', 1, 1)
('reorientaron', 1, 1)
('prefieran', 1, 1)
('reservaron', 1, 1)
('46,4%falta', 1, 1)
('exterior24', 1, 1)
('férra', 1, 1)
('expiración', 1, 1)
('cinestav', 1, 1)
('desenfocado', 1, 1)
('etni', 1, 1)
('commissions', 1, 1)
('pared', 1, 1)
('william', 1, 2)
('mantilla', 1, 1)
('olgoonik', 1, 2)
('dagma', 1, 1)
('3657(a', 1, 2)
('ovv', 1, 1)
('asfáltica', 1, 2)
('ambalaavenida', 1, 1)
('machete', 1, 1)
('pasaporte', 1, 4)
('ferreiro', 1, 3)
('escolar-y', 1, 1)
('ur-l1038', 1, 1)
('forestales-', 1, 1)
('madura', 1, 1)
('devenido', 1, 1)
('grau', 1, 1)
('created', 1, 1)
('disruption', 1, 1)
('médico-quirúrgicas', 1, 1)
('tricimóviles', 1, 1)
('educación)31', 1, 1)
('proliferado', 1, 1)
('comisario', 1, 2)
('ilustrativos', 1, 1)
('atlántico(e', 1, 1)
('región189', 1, 1)
('implementanción', 1, 1)
('ar-l1030', 1, 1)
('leaflet', 1, 1)
('chorrera', 1, 1)
('carepa', 1, 1)
('doctor', 1, 2)
('mantenimi', 1, 1)
('deestupefacientes', 1, 1)
('valdivia', 1, 2)
('subcausas', 1, 1)
('terrorista', 1, 1)
('abscisado', 1, 1)
('findeter,2017', 1, 1)
('iniciativas90', 1, 1)
('modifíquese', 1, 1)
('sgcf)48', 1, 1)
('cardona-acevedo', 1, 2)
('latente21', 1, 1)
('multiformato', 1, 1)
('savings', 1, 2)
('onic', 1, 1)
('comisos', 1, 1)
('clh', 1, 1)
('antídotos', 1, 1)
('económico-políticas', 1, 1)
('functioning', 1, 1)
('bughin', 1, 1)
('significados', 1, 2)
('orp', 1, 1)
('financiación87', 1, 1)
('tablestacados', 1, 1)
('funda', 1, 1)
('el14', 1, 1)
('utilization', 1, 1)
('electrónica13,4%45,2%rastreo', 1, 1)
('fud', 1, 1)
('speed', 1, 1)
('3,4/5,0', 1, 1)
('gaf', 1, 1)
('gleave-posse', 1, 3)
('conducirlas', 1, 1)
('pausas', 1, 1)
('salvos', 1, 1)
('anormales', 1, 1)
('aristas', 1, 1)
('weel', 1, 2)
('rebaja', 1, 1)
('exacerbará', 1, 1)
('smartphones', 1, 1)
('irpc', 1, 1)
('caf-banco', 1, 1)
('delconocimiento', 1, 1)
('pearl', 1, 1)
('conpesii', 1, 1)
('devolverán', 1, 1)
('buenaventura-villavicencio-puerto', 1, 1)
('caleranorte', 1, 1)
('inconstantes', 1, 1)
('libia', 1, 1)
('insurance', 1, 5)
('condition', 1, 1)
('gestiondo', 1, 1)
('palestina48', 1, 1)
('vinilo).tras', 1, 1)
('gachancip', 1, 1)
('propulsión', 1, 1)
('parks', 1, 2)
('sacos', 1, 2)
('rompeolas', 1, 3)
('costo-factor', 1, 1)
('filipinasirlandaotn', 1, 1)
('obligatorios18', 1, 1)
('viuda', 1, 1)
('catastro-', 1, 2)
('estacionesoperacióngestión', 1, 1)
('erap', 1, 1)
('documento49', 1, 1)
('colonoscopia', 1, 1)
('debilitar', 1, 1)
('xxi35', 1, 1)
('masivo14', 1, 1)
('prevention', 1, 2)
('comfama', 1, 1)
('sobrevaluado', 1, 1)
('culminados', 1, 1)
('activarán', 1, 3)
('atomizada', 1, 1)
('acial', 1, 1)
('validaba', 1, 1)
('institut', 1, 3)
('bosconia-plato-el', 1, 1)
('fómeque', 1, 1)
('cloradores', 1, 1)
('músculo', 1, 2)
('trustworthy', 1, 1)
('18,1%14,7%13,5%12,9%11,9%8,7%8,0%7,2%el', 1, 1)
('threads', 1, 1)
('-puente', 1, 1)
('regresivo3', 1, 1)
('historical', 1, 1)
('pps', 1, 3)
('0%mún0-5', 1, 1)
('preconstruccion', 1, 1)
('factoring80', 1, 1)
('ocurriendo', 1, 1)
('ureña', 1, 1)
('atkearney', 1, 1)
('lizarazo', 1, 2)
('unplanned', 1, 1)
('globalriesgos', 1, 1)
('pe-l1026', 1, 2)
('mancomunada', 1, 1)
('tercerizado', 1, 1)
('económica167', 1, 1)
('hélice21', 1, 1)
('urbanizaciones', 1, 1)
('700613,2600bb4b489,3469,2', 1, 1)
('puya', 1, 1)
('arrived', 1, 1)
('multimodalismo', 1, 1)
('br0392', 1, 1)
('pinel', 1, 1)
('chamoun', 1, 1)
('masterov', 1, 1)
('sueci', 1, 1)
('emnciniais', 1, 1)
('asignarlo', 1, 1)
('retrospective', 1, 1)
('apareció', 1, 1)
('extradimensionados', 1, 1)
('noncommunicable', 1, 2)
('regarding', 1, 1)
('construídos', 1, 1)
('radique', 1, 1)
('legalidad94', 1, 1)
('0%2007', 1, 1)
('judicializar', 1, 3)
('híbricos', 1, 1)
('ufca', 1, 1)
('efectivo178', 1, 1)
('sobrevuelo', 1, 1)
('agroturismo', 1, 1)
('siniev', 1, 1)
('singularidad', 1, 1)
('144municipios', 1, 1)
('benchmark', 1, 2)
('comunidades28', 1, 1)
('obedecerá', 1, 1)
('nidia', 1, 1)
('oira', 1, 1)
('plenitud', 1, 1)
('canina', 1, 1)
('estupiñan', 1, 2)
('corporativas62', 1, 1)
('pn0116', 1, 1)
('civil92', 1, 1)
('kushwah', 1, 1)
('trajectories', 1, 1)
('infraestructura8', 1, 1)
('zpa', 1, 4)
('parrotta', 1, 1)
('utc)-5', 1, 1)
('pospusieron', 1, 1)
('-pdet', 1, 1)
('concluyen', 1, 1)
('0,8i', 1, 1)
('hidroclimáticas', 1, 1)
('brisas', 1, 1)
('comarca', 1, 1)
('polyphōnia', 1, 1)
('ficticias', 1, 1)
('pekín', 1, 1)
('exportadas', 1, 1)
('pulmonares', 1, 1)
('anaeróbicas', 1, 2)
('situ61', 1, 1)
('potencializarse', 1, 1)
('hierbas', 1, 3)
('estabilización6', 1, 1)
('pollo', 1, 1)
('201717se', 1, 1)
('takling', 1, 1)
('institucinal', 1, 1)
('filtró', 1, 1)
('fideicomitentes', 1, 1)
('amenazados41', 1, 1)
('425otnup', 1, 1)
('antijurídicas', 1, 1)
('adosadas', 1, 1)
('trabajo19', 1, 1)
('modelos34', 1, 1)
('fotográfica', 1, 1)
('significativa128', 1, 1)
('page', 1, 1)
('devuelve', 1, 1)
('centímetros', 1, 1)
('definiéndose', 1, 1)
('comercializarlos', 1, 1)
('400to', 1, 1)
('zozobra', 1, 1)
('p073206', 1, 2)
('sgp-37-2019', 1, 1)
('ecogas', 1, 1)
('revelaron', 1, 1)
('fabricadas', 1, 1)
('embrago', 1, 1)
('iii27', 1, 1)
('acusatorio', 1, 1)
('pita', 1, 1)
('tarificación', 1, 1)
('nombela', 1, 2)
('línea(a', 1, 2)
('etc.)52', 1, 1)
('aramendis', 1, 2)
('cuida', 1, 1)
('icsed-prodem', 1, 1)
('estipulando', 1, 1)
('silicon', 1, 3)
('privilegiados', 1, 1)
('documento4083', 1, 1)
('aulí', 1, 1)
('alcatraces', 1, 1)
('sinovac', 1, 1)
('hablantes', 1, 4)
('estricto163', 1, 1)
('positivas)22', 1, 1)
('baranoa', 1, 1)
('guidence', 1, 1)
('armonice', 1, 1)
('narváez', 1, 3)
('embrujo', 1, 1)
('porcovid-19', 1, 2)
('abusados', 1, 1)
('tin', 1, 1)
('joaquínonzaga', 1, 1)
('preacordados', 1, 5)
('intentando', 1, 1)
('grabar', 1, 3)
('sirio', 1, 1)
('saravenapuente', 1, 1)
('quedaban', 1, 1)
('kline', 1, 1)
('invisibilidad', 1, 1)
('acercará', 1, 1)
('café19', 1, 1)
('legalizados', 1, 1)
('prodep', 1, 1)
('espinal-picaleña-ibagué', 1, 1)
('desface', 1, 1)
('metrolínea', 1, 3)
('7,540,9740,020,00,0government', 1, 1)
('jain', 1, 2)
('venezuela24', 1, 1)
('gobernanza12', 1, 1)
('porteous', 1, 1)
('aplicable44', 1, 1)
('ns-119', 1, 1)
('aduanero48', 1, 1)
('acdivoca', 1, 1)
('montenegrocartago', 1, 1)
('analytical', 1, 1)
('ec-l1071', 1, 2)
('mayales', 1, 1)
('monserrate', 1, 1)
('pereira/', 1, 1)
('q43', 1, 1)
('dga', 1, 2)
('emprendan', 1, 1)
('profesorado(66', 1, 1)
('ti31', 1, 1)
('opongan', 1, 1)
('fiscal13', 1, 1)
('nom-012-sct-2-2017', 1, 2)
('ambientales-ideam-', 1, 1)
('del11', 1, 1)
('ordenamientos', 1, 1)
('abusivo', 1, 1)
('intercambie', 1, 1)
('relajan', 1, 1)
('encamina', 1, 1)
('hellman', 1, 2)
('nacional120,096,5', 1, 1)
('11.016.7total', 1, 1)
('2020(c', 1, 1)
('meanings', 1, 1)
('137r', 1, 1)
('bosques9', 1, 1)
('1.componente', 1, 2)
('veterinaria', 1, 1)
('variando', 1, 1)
('gonzález-uribe', 1, 1)
('todos15', 1, 1)
('extranjer', 1, 1)
('2019-nombre', 1, 1)
('astrea', 1, 1)
('competivividad', 1, 1)
('escolartransporte', 1, 1)
('irrisorio', 1, 1)
('hong', 1, 1)
('multi-temporal', 1, 1)
('tarifarias27', 1, 1)
('delineados', 1, 1)
('reclutar', 1, 1)
('financieras151', 1, 1)
('2-b', 1, 1)
('gini50', 1, 1)
('decisión40', 1, 1)
('opcionales', 1, 1)
('zui108', 1, 1)
('sigma,2019', 1, 1)
('pico-satélite', 1, 1)
('vivimos', 1, 1)
('ayuntamiento', 1, 1)
('alleviation', 1, 2)
('terraplenes17', 1, 1)
('metrosabanas', 1, 3)
('propietarios2,01,711,531,5', 1, 1)
('compartimento', 1, 1)
('dorada-buenos', 1, 1)
('beneficiarios87', 1, 1)
('pasaban', 1, 1)
('agrave', 1, 1)
('entidad30', 1, 1)
('2041/14', 1, 1)
('ncsi)20', 1, 1)
('primando', 1, 1)
('pasajeros5', 1, 1)
('priorizada(s', 1, 1)
('comparativamente', 1, 2)
('pnd)9', 1, 1)
('n-ma', 1, 1)
('anñalisis', 1, 1)
('modal88', 1, 1)
('incidentes33', 1, 1)
('multidisciplinarios', 1, 3)
('paf-atf-ce-025-2015', 1, 1)
('cali-', 1, 1)
('07-abr', 1, 2)
('biosanitario', 1, 1)
('sensación', 1, 1)
('lelis', 1, 2)
('nivel28', 1, 1)
('instaurarlo', 1, 1)
('ifla)20', 1, 1)
('yariguies', 1, 1)
('cibersecurity', 1, 1)
('revoluciones', 1, 1)
('guavio140', 1, 1)
('eeyss', 1, 1)
('productos93', 1, 1)
('nacional-[previo', 1, 2)
('tiempos0%66%generación', 1, 1)
('catatumbo-barí', 1, 1)
('dejadas', 1, 1)
('siugj', 1, 1)
('baena', 1, 1)
('economico', 1, 1)
('viruses', 1, 1)
('orlcoiocmulobltmuiarba', 1, 1)
('vert', 1, 1)
('sobrevivir', 1, 1)
('venezolana41', 1, 1)
('2,1%sistema', 1, 1)
('pronunciado', 1, 1)
('rural-urbano14', 1, 1)
('accionario', 1, 1)
('d12', 1, 1)
('rentería', 1, 1)
('friccionales', 1, 2)
('pdp31', 1, 1)
('inflación-julio', 1, 1)
('ibaguésecretaría', 1, 1)
('tecnificados', 1, 1)
('coincidían', 1, 1)
('unam', 1, 1)
('mistrató', 1, 1)
('heijden', 1, 2)
('umpe', 1, 1)
('ácaros', 1, 1)
('implantado', 1, 4)
('sigma&findeter.2018', 1, 1)
('igac-snr', 1, 2)
('tutelables', 1, 1)
('weinstein', 1, 1)
('salud55', 1, 1)
('ornato', 1, 1)
('engines', 1, 1)
('panea', 1, 1)
('biciusuarios', 1, 1)
('autobicicleta', 1, 1)
('expeditas92', 1, 1)
('socia', 1, 1)
('uariv105', 1, 1)
('ijodaep.2018.n1.v4.1297', 1, 1)
('carga27', 1, 1)
('cpapso', 1, 1)
('ovm', 1, 1)
('p050772', 1, 2)
('contemporary', 1, 1)
('facultar', 1, 1)
('incurrirían', 1, 1)
('urales', 1, 1)
('ungrd10', 1, 1)
('buenaventuravillavicencio', 1, 1)
('has', 1, 2)
('-28,26%', 1, 1)
('perpetuando', 1, 1)
('tierras-', 1, 1)
('verdeamiento', 1, 1)
('doi.org/10.15446', 1, 1)
('instagram', 1, 1)
('ddbueacsnatcivróralod.l', 1, 1)
('crédito-beca', 1, 1)
('humbolt', 1, 1)
('nacional13', 1, 1)
('2021d', 1, 2)
('tamalameque', 1, 1)
('0%2013', 1, 1)
('wef,2019', 1, 1)
('12073,03%69,74%64,47%100', 1, 1)
('airad', 1, 1)
('----bogotá', 1, 1)
('matricular', 1, 1)
('exprese', 1, 1)
('politización', 1, 1)
('desembolsando', 1, 1)
('risky', 1, 2)
('2014-para', 1, 1)
('inequalities', 1, 1)
('multilaterales5,3%', 1, 1)
('balanceados', 1, 1)
('plan171', 1, 1)
('hud', 1, 2)
('registrarlas', 1, 1)
('senoimac', 1, 1)
('megari', 1, 2)
('10,0%5,9%micro', 1, 1)
('apuros', 1, 1)
('formación38', 1, 1)
('experimentadas', 1, 1)
('profundizarán', 1, 1)
('inminentes', 1, 1)
('ivp)23', 1, 1)
('irritable', 1, 1)
('ación', 1, 1)
('cidconstrucción', 1, 1)
('latina21', 1, 1)
('cicloalameda', 1, 3)
('divisorias', 1, 1)
('inter-firma', 1, 2)
('duplicaron', 1, 1)
('electrócio', 1, 1)
('equidad-', 1, 1)
('legaciones', 1, 1)
('estado2004', 1, 1)
('policy-perspectives.pdf', 1, 1)
('laicos', 1, 1)
('orientaran', 1, 1)
('espacial34', 1, 1)
('remes', 1, 2)
('oidisbus', 1, 1)
('pn0032', 1, 1)
('leloglu', 1, 4)
('traslapadas', 1, 1)
('19-jun', 1, 1)
('cíber-físicos', 1, 1)
('admisiones', 1, 1)
('otrobfuente', 1, 1)
('orenég', 1, 1)
('-10%í70%', 1, 1)
('bacrim', 1, 1)
('jané-llopis', 1, 1)
('tropica(162', 1, 1)
('incorporándolos', 1, 1)
('querer', 1, 1)
('plenaria', 1, 4)
('visitar', 1, 2)
('cineci', 1, 1)
('1953/2018', 1, 1)
('capitales54', 1, 1)
('occ', 1, 4)
('pulgadas', 1, 2)
('14-agosto', 1, 1)
('useful', 1, 2)
('topcu', 1, 1)
('coruña', 1, 1)
('proyecta-t', 1, 4)
('ipb', 1, 4)
('fontanar', 1, 1)
('kilómeto', 1, 1)
('contiguas', 1, 1)
('carretera70', 1, 1)
('gravado8', 1, 1)
('foresis', 1, 1)
('tebaida-armenia', 1, 1)
('dadilac', 1, 1)
('repore', 1, 1)
('conpes4036', 1, 1)
('bilaterales5', 1, 1)
('rasante23', 1, 1)
('1patio', 1, 1)
('2nivel', 1, 1)
('mobilize', 1, 1)
('diamante', 1, 1)
('lazzaro', 1, 2)
('decadas', 1, 1)
('+1,6', 1, 1)
('correlaciona', 1, 1)
('coincidió', 1, 1)
('sarpmo', 1, 1)
('aceleramiento', 1, 2)
('actue', 1, 5)
('subfactor', 1, 2)
('doctorado3,00', 1, 1)
('castigadas', 1, 1)
('depurada', 1, 1)
('demostrará', 1, 1)
('08-abr', 1, 2)
('sexo18', 1, 1)
('alterada', 1, 1)
('azotó', 1, 1)
('contrariamente', 1, 1)
('petr', 1, 1)
('ciempiés', 1, 1)
('longitud12', 1, 1)
('inviables', 1, 1)
('mercadopolíticas', 1, 1)
('genera89', 1, 1)
('concurrente', 1, 1)
('road-based', 1, 1)
('popayan', 1, 1)
('uncontidional', 1, 1)
('impacto.33', 1, 1)
('sisetu', 1, 1)
('vehicular29', 1, 1)
('transmitibles', 1, 1)
('popayán-la', 1, 1)
('forestal12', 1, 1)
('lloraba', 1, 1)
('sitp)9', 1, 1)
('briden', 1, 1)
('29%(b', 1, 1)
('lanoz', 1, 1)
('oeap', 1, 3)
('app)13', 1, 1)
('encuensta', 1, 1)
('dogson', 1, 1)
('bastiaan', 1, 1)
('inpec(a', 1, 2)
('desamor', 1, 1)
('x-road', 1, 1)
('mellon', 1, 1)
('nref', 1, 1)
('dialógicas', 1, 2)
('económicototal', 1, 1)
('biomedica', 1, 1)
('emprendedor71', 1, 1)
('feab', 1, 1)
('interpretativa', 1, 1)
('movilizados41', 1, 1)
('xxi31', 1, 1)
('prometen', 1, 1)
('suspensión14', 1, 1)
('amoblado', 1, 1)
('42decretos', 1, 1)
('atribución', 1, 1)
('pard)65', 1, 1)
('ahuyama', 1, 1)
('total242103', 1, 1)
('teianclsoacutaril', 1, 1)
('aduce', 1, 1)
('usuales', 1, 1)
('onu-redd', 1, 3)
('oliva', 1, 3)
('expresivos', 1, 1)
('transportando', 1, 1)
('exploratorio', 1, 1)
('ejes(a', 1, 1)
('hawkins', 1, 2)
('mejorarlo', 1, 1)
('scaf', 1, 1)
('estresante', 1, 1)
('criminal1', 1, 1)
('chequi', 1, 1)
('cobraría', 1, 1)
('concentrating', 1, 1)
('5,22%4%2%0%2010', 1, 1)
('rethus', 1, 3)
('fiscal31', 1, 1)
('vip-vis', 1, 3)
('cnjsa', 1, 1)
('ilo.(2019).gobernabilidad', 1, 1)
('bl-l1008', 1, 1)
('1310100acisíf', 1, 1)
('accelerators', 1, 3)
('planeción', 1, 1)
('nación(b', 1, 1)
('llso', 1, 1)
('lucas', 1, 1)
('catalino', 1, 1)
('\uf044vp', 1, 3)
('criterios3', 1, 1)
('instituciones66', 1, 1)
('18,3asambleas', 1, 1)
('rural23', 1, 1)
('cisp', 1, 3)
('sharma', 1, 1)
('telesalud', 1, 1)
('mfmp2019', 1, 1)
('ciberespacial', 1, 1)
('meses)operación', 1, 1)
('mojana11', 1, 1)
('1777evaluaciones', 1, 1)
('strong', 1, 1)
('multilaterales4', 1, 1)
('scorecard', 1, 1)
('medium-sized', 1, 1)
('transportaron', 1, 2)
('tpa', 1, 4)
('o32', 1, 1)
('snariv)81', 1, 1)
('quindío–la', 1, 1)
('uvt)47', 1, 1)
('normatividad57', 1, 1)
('iad', 1, 5)
('ejercico', 1, 1)
('khoury', 1, 2)
('obnedluhrlerenueenmiar', 1, 1)
('ctn', 1, 2)
('nvp', 1, 2)
('inviolables', 1, 1)
('attachment', 1, 2)
('2.1.1.estrategia', 1, 1)
('respondían', 1, 1)
('caribbean-colombia', 1, 1)
('mutuo40', 1, 1)
('inversión4', 1, 1)
('5niveles', 1, 1)
('debatir', 1, 2)
('ronicle', 1, 4)
('aprobados6', 1, 1)
('poblacional179', 1, 1)
('güemes', 1, 3)
('mestieri', 1, 2)
('psiquiátrico', 1, 1)
('2016/2017', 1, 1)
('forestales48', 1, 1)
('carga24', 1, 1)
('goodridge', 1, 1)
('biomecánicas', 1, 1)
('seguías', 1, 1)
('logística-dnp', 1, 1)
('parís8', 1, 1)
('32%30%s', 1, 1)
('traía', 1, 1)
('pantano', 1, 1)
('defense', 1, 1)
('verde12', 1, 1)
('yehuda', 1, 1)
('turquí', 1, 1)
('replicaron', 1, 1)
('garcía-', 1, 1)
('forecast-unemployment', 1, 1)
('lizbeth', 1, 1)
('fail', 1, 1)
('sitsa', 1, 1)
('lineamientos39', 1, 1)
('rate-emdf-latin', 1, 1)
('resonancia', 1, 1)
('semafórica', 1, 1)
('continué', 1, 1)
('derechos53', 1, 1)
('enficc', 1, 1)
('junio-agosto', 1, 1)
('debieran', 1, 1)
('7,3%grande', 1, 1)
('remotoa', 1, 1)
('euromonitor', 1, 3)
('endless', 1, 1)
('flexibilizará', 1, 1)
('mcgraw', 1, 1)
('vcc56', 1, 1)
('periodo47', 1, 1)
('enficc)39', 1, 1)
('numerosa', 1, 1)
('sembrados', 1, 3)
('/re', 1, 1)
('promedio(d', 1, 1)
('3,4economías', 1, 1)
('raizal71', 1, 1)
('separado15', 1, 1)
('registraría', 1, 1)
('conpes106', 1, 1)
('responsabilidades2', 1, 1)
('0%sin', 1, 1)
('commision', 1, 1)
('setenta', 1, 2)
('wan', 1, 1)
('definidos7', 1, 1)
('transporte27', 1, 1)
('social108', 1, 1)
('vytlacil', 1, 2)
('alcance(a', 1, 2)
('económico40', 1, 1)
('estrátegicas', 1, 1)
('entrepeneurial', 1, 1)
('bilateral58', 1, 1)
('nacional17,6%', 1, 1)
('compromisosinternacionales', 1, 1)
('tic8', 1, 1)
('multi-sectorial', 1, 1)
('apalancando', 1, 1)
('sujetarán', 1, 1)
('46la', 1, 1)
('6,076,635,23riohacha', 1, 1)
('subestimaciones', 1, 1)
('transgredió', 1, 1)
('registral46', 1, 1)
('giomar', 1, 1)
('energética1', 1, 1)
('-0,98%', 1, 1)
('apendicectomía', 1, 2)
('sacsa', 1, 1)
('occidente173', 1, 1)
('hansman', 1, 1)
('nepomuceno-', 1, 1)
('73,8%44,8%acueducto', 1, 1)
('detrabajo', 1, 1)
