,topic1,topic2,2017,2018,2019,2020,2021,2022
150,documento,prospectiva,2,6,3,5,3,13
151,documento,sistema,14,38,24,35,27,15
152,documento,regalías,7,13,5,9,8,14
153,documento,yesid,0,0,0,0,0,13
154,documento,parra,0,3,0,3,3,13
155,documento,vera,0,0,1,0,0,13
156,documento,lorena,6,29,0,0,0,13
157,documento,garnica,0,1,0,0,0,13
158,documento,espriella,10,0,0,0,0,13
159,documento,subdirector,16,39,25,35,27,13
160,documento,inversiones,14,36,21,31,24,14
161,documento,descentralización,5,10,5,9,9,14
162,documento,seguimiento,14,33,21,31,23,15
163,documento,evaluación,12,32,20,31,21,13
164,documento,territorial,16,39,25,35,27,13
165,documento,resumen,16,39,25,35,27,14
166,documento,ejecutivo,16,39,25,35,27,14
167,documento,políticas,14,34,20,31,22,12
168,documento,culturales,7,15,6,10,14,7
169,documento,creativas,0,0,2,2,1,1
170,documento,reconocidas,1,5,5,3,6,4
171,documento,elementos,7,25,14,23,18,11
172,documento,fundamentales,7,17,12,19,17,8
173,documento,país,15,39,24,33,25,14
174,documento,sentido,12,33,22,29,24,14
175,documento,recientes,7,8,8,11,10,10
176,documento,buscado,3,2,2,5,1,3
177,documento,ecosistema,2,6,5,10,6,7
178,documento,cultural,8,14,5,14,14,6
179,documento,creativo,0,1,2,2,4,1
180,documento,fomentar,7,17,15,21,14,8
181,documento,adn,0,1,1,1,1,2
182,documento,definidas,15,29,15,27,15,10
183,documento,artículo,15,39,25,35,26,15
184,documento,ley,16,38,25,34,27,15
185,documento,espacios,8,23,7,19,16,5
186,documento,geográficos,1,5,0,4,0,4
187,documento,delimitados,0,3,0,0,1,1
188,documento,reconocidos,0,8,4,6,5,2
189,documento,fortalecer,12,32,22,32,24,12
190,documento,incentivar,5,16,13,18,11,8
191,documento,actividades,13,37,24,35,26,13
192,documento,instrumentos,9,29,15,30,22,12
193,documento,ordenamiento,8,26,6,20,13,6
194,documento,decisiones,13,29,21,24,16,11
195,documento,administrativas,8,19,9,18,10,7
196,documento,entidad,13,35,23,33,25,14
197,documento,virtud,10,22,11,13,14,6
198,documento,objetivo,16,37,22,34,26,14
199,documento,integración,8,24,15,20,21,11
200,documento,artistas,0,0,0,1,1,1
201,documento,creadores,0,0,0,1,2,1
